1;Urban and Built-Up Land
2;Dryland Cropland and Pasture
3;Irrigated Cropland and Pasture
4;Mixed Dryland/Irrigated Cropland and Pasture
5;Cropland/Grassland Mosaic
6;Cropland/Woodland Mosaic
7;Grassland
8;Shrubland
9;Mixed Shrubland/Grassland
10;Savanna
11;Deciduous Broadleaf Forest
12;Deciduous Needleleaf Forest
13;Evergreen Broadleaf Forest
14;Evergreen Needleleaf Forest
15;Mixed Forest
16;Water Bodies
17;Herbaceous Wetland
18;Wooded Wetland
19;Barren or Sparsely Vegetated
20;Herbaceous Tundra
21;Wooded Tundra
22;Mixed Tundra
23;Bare Ground Tundra
24;Snow or Ice
